dataset,method,scope,n_eval,accuracy,precision,recall,f1,provenance
ces,budgeted,global,35288,0.2848560417,0.2848560417,1.0000000000,0.4434053812,historical_run_summary
ces,budgeted,per_user,35071,0.6204841607,0.4211552175,0.8865205644,0.5710326153,historical_run_summary
ces,supermask,global,35288,0.2889650873,0.2855920846,0.9964186232,0.4439421134,historical_run_summary
ces,supermask,per_user,35071,0.6444070600,0.4239970556,0.6916841789,0.5257273241,historical_run_summary
ces,pdfk,global,35288,0.3105871684,0.2910421546,0.9890569041,0.4497421511,historical_run_summary
ces,pdfk,per_user,35071,0.7194548202,0.5045384887,0.8565996197,0.6350383912,historical_run_summary
globem,budgeted,global,8224,0.4623054475,0.4622124863,0.9992107340,0.6320519217,historical_run_summary
globem,budgeted,per_user,7521,0.7271639410,0.7052989515,0.7109397315,0.7081081076,historical_run_summary
globem,supermask,global,8224,0.4636429961,0.4627321603,0.9963167587,0.6319566120,historical_run_summary
globem,supermask,per_user,7521,0.5640207419,0.5576923077,0.3064838618,0.3955760364,historical_run_summary
globem,pdfk,global,8224,0.4633998054,0.4626647145,0.9976322021,0.6321580391,historical_run_summary
globem,pdfk,per_user,7521,0.7452466427,0.7231765700,0.7335047129,0.7283040267,historical_run_summary
studentlife,budgeted,global,3656,0.2502735230,0.1655446756,0.9747747748,0.2830238030,historical_run_summary
studentlife,budgeted,per_user,3611,0.9930767101,0.9961977186,0.9579524680,0.9767008383,historical_run_summary
studentlife,supermask,global,3656,0.3648796499,0.1781420765,0.8810810811,0.2963636361,historical_run_summary
studentlife,supermask,per_user,3611,0.8872888397,0.7845528455,0.3528336380,0.4867591421,historical_run_summary
studentlife,pdfk,global,3656,0.6444201313,0.2855497985,0.8936936937,0.4328097728,historical_run_summary
studentlife,pdfk,per_user,3611,0.9952921628,0.9962546816,0.9725776965,0.9842738200,historical_run_summary
