dataset,method,accuracy,precision,recall,specificity,f1,post_f1,mean_first_k_f1,provenance
ces,best_global,0.311,0.291,0.989,0.041,0.450,,0.181,manuscript
ces,best_per_user,0.720,0.504,0.857,0.666,0.635,,,manuscript
ces,feature_grouping,0.318,,0.964,0.060,0.463,,0.238,manuscript
ces,random_grouping,0.772,,0.741,0.785,0.653,,0.251,manuscript
ces,one_group_adapter,0.776,,0.742,0.789,0.654,0.658,0.278,manuscript
ces,per_user_adapter,0.773,,0.748,0.784,0.653,0.657,0.256,manuscript
ces,clean,0.794,,0.762,0.806,0.678,0.683,0.283,manuscript
ces,full_final,0.803,0.624,0.773,0.815,0.691,0.696,0.285,manuscript
globem,best_global,0.464,0.463,0.996,0.006,0.632,,0.318,manuscript
globem,best_per_user,0.745,0.723,0.734,0.755,0.728,,,manuscript
globem,feature_grouping,0.461,,0.988,0.009,0.675,,0.351,manuscript
globem,random_grouping,0.677,,0.830,0.545,0.705,,0.386,manuscript
globem,one_group_adapter,0.659,,0.863,0.484,0.701,0.703,0.472,manuscript
globem,per_user_adapter,0.666,,0.862,0.498,0.705,0.708,0.392,manuscript
globem,clean,0.693,,0.854,0.554,0.720,0.723,0.403,manuscript
globem,full_final,0.700,0.628,0.862,0.561,0.727,0.730,0.404,manuscript
