dataset,progress_percent,online_interval_seconds,offline_transformer_prefix_retrain_seconds,provenance
ces,10,70.08,50.23,retained_publication_aggregate
ces,20,92.84,119.57,retained_publication_aggregate
ces,30,212.14,199.18,retained_publication_aggregate
ces,40,167.14,283.79,retained_publication_aggregate
ces,50,250.18,374.44,retained_publication_aggregate
ces,60,209.19,464.80,retained_publication_aggregate
ces,70,265.64,533.90,retained_publication_aggregate
ces,80,229.89,623.66,retained_publication_aggregate
ces,90,328.24,658.42,retained_publication_aggregate
ces,100,241.04,637.69,retained_publication_aggregate
globem,10,5.30,14.61,retained_publication_aggregate
globem,20,5.44,27.15,retained_publication_aggregate
globem,30,5.84,40.30,retained_publication_aggregate
globem,40,11.33,53.48,retained_publication_aggregate
globem,50,11.37,73.92,retained_publication_aggregate
globem,60,13.07,91.04,retained_publication_aggregate
globem,70,15.45,122.44,retained_publication_aggregate
globem,80,20.62,149.97,retained_publication_aggregate
globem,90,28.48,162.38,retained_publication_aggregate
globem,100,27.15,194.10,retained_publication_aggregate
