dataset,setting,method,recall_pos,accuracy,auc,f1_pos,source_status
ces,offline_ml,xgboost,0.4500,0.5370,0.5240,0.4450,aggregate_only_auc_hard
ces,offline_ml,svm,0.3130,0.5702,0.5317,0.3750,aggregate_only_auc_hard
ces,offline_ml,logistic_regression,0.4960,0.5297,0.5247,0.4650,aggregate_only_auc_hard
ces,offline_ml,random_forest,0.3070,0.5677,0.5287,0.3690,aggregate_only_auc_hard
ces,offline_ml,lightgbm,0.4080,0.5377,0.5182,0.4210,aggregate_only_auc_hard
ces,offline_ml,decision_tree,0.4650,0.5182,0.5104,0.4430,aggregate_only_auc_hard
ces,offline_dl,lstm_attention,0.5790,0.5724,0.5753,0.4300,aggregate_only_auc_hard
ces,offline_dl,transformer,0.4890,0.5700,0.5450,0.3870,aggregate_only_auc_hard
ces,offline_dl,tcn,0.3570,0.5825,0.5132,0.3220,aggregate_only_auc_hard
ces,offline_dl,mlp,0.3860,0.5646,0.5099,0.3300,aggregate_only_auc_hard
ces,online_global,hbp_odl,0.8599,0.4254,0.5561,0.4602,retained_aggregate
ces,online_global,koil,0.9125,0.3563,0.5236,0.4468,retained_aggregate
ces,online_global,olfl,0.8784,0.3966,0.5416,0.4534,retained_aggregate
ces,online_global,oli2ds,0.8720,0.4168,0.5538,0.4600,retained_aggregate
ces,online_global,olifl,0.8943,0.3844,0.5378,0.4528,retained_aggregate
ces,online_per_user,hbp_odl,0.4955,0.7245,0.7457,0.5061,retained_remote_rerun
ces,online_per_user,koil,0.4838,0.7575,0.7294,0.5320,retained_remote_rerun
ces,online_per_user,olfl,0.6329,0.7543,0.8408,0.5947,retained_remote_rerun
ces,online_per_user,oli2ds,0.7436,0.7358,0.8104,0.6159,retained_remote_rerun
ces,online_per_user,olifl,0.6812,0.7945,0.8650,0.6538,retained_remote_rerun
ces,group_shared,sg_share,0.7543,0.8203,0.8709,0.7060,mixed_run_row_see_audit
globem,offline_ml,xgboost,0.5150,0.5456,0.5436,0.5120,aggregate_only_auc_hard
globem,offline_ml,svm,0.3630,0.5503,0.5374,0.4280,aggregate_only_auc_hard
globem,offline_ml,logistic_regression,0.5990,0.5503,0.5535,0.5520,aggregate_only_auc_hard
globem,offline_ml,random_forest,0.5030,0.5398,0.5373,0.5030,aggregate_only_auc_hard
globem,offline_ml,lightgbm,0.5280,0.5450,0.5439,0.5180,aggregate_only_auc_hard
globem,offline_ml,decision_tree,0.5500,0.5276,0.5292,0.5190,aggregate_only_auc_hard
globem,offline_dl,lstm_attention,0.2630,0.5445,0.5251,0.3480,aggregate_only_auc_hard
globem,offline_dl,transformer,0.6710,0.5404,0.5494,0.5750,aggregate_only_auc_hard
globem,offline_dl,tcn,0.4410,0.4927,0.4892,0.4460,aggregate_only_auc_hard
globem,offline_dl,mlp,0.3810,0.4939,0.4862,0.4110,aggregate_only_auc_hard
globem,online_global,hbp_odl,0.9777,0.4707,0.5064,0.6306,retained_aggregate
globem,online_global,koil,0.9813,0.4654,0.5017,0.6292,retained_aggregate
globem,online_global,olfl,0.9753,0.4715,0.5070,0.6304,retained_aggregate
globem,online_global,oli2ds,0.9658,0.4744,0.5090,0.6294,retained_aggregate
globem,online_global,olifl,0.9669,0.4706,0.5056,0.6280,retained_aggregate
globem,online_per_user,hbp_odl,0.5551,0.5467,0.5685,0.5310,retained_aggregate
globem,online_per_user,koil,0.5043,0.6900,0.6306,0.6006,retained_aggregate
globem,online_per_user,olfl,0.7619,0.7419,0.8301,0.7318,retained_aggregate
globem,online_per_user,oli2ds,0.7703,0.7357,0.8011,0.7293,retained_aggregate
globem,online_per_user,olifl,0.7469,0.7409,0.8175,0.7271,retained_aggregate
globem,group_shared,sg_share,0.8503,0.7179,0.7926,0.7359,aligned_private_event_source
