dataset,family,method,f1_pos,recall_pos,accuracy,auc,auc_definition,provenance
ces,ml,xgboost,0.4450,0.4500,0.5370,0.5240,hard_label_balanced_accuracy,retained_publication_aggregate
ces,ml,svm,0.3750,0.3130,0.5702,0.5317,hard_label_balanced_accuracy,retained_publication_aggregate
ces,ml,logistic_regression,0.4650,0.4960,0.5297,0.5247,hard_label_balanced_accuracy,retained_publication_aggregate
ces,ml,random_forest,0.3690,0.3070,0.5677,0.5287,hard_label_balanced_accuracy,retained_publication_aggregate
ces,ml,lightgbm,0.4210,0.4080,0.5377,0.5182,hard_label_balanced_accuracy,retained_publication_aggregate
ces,ml,decision_tree,0.4430,0.4650,0.5182,0.5104,hard_label_balanced_accuracy,retained_publication_aggregate
ces,dl,lstm_attention,0.4300,0.5790,0.5724,0.5753,hard_label_balanced_accuracy,retained_publication_aggregate
ces,dl,transformer,0.3870,0.4890,0.5700,0.5450,hard_label_balanced_accuracy,retained_publication_aggregate
ces,dl,tcn,0.3220,0.3570,0.5825,0.5132,hard_label_balanced_accuracy,retained_publication_aggregate
ces,dl,mlp,0.3300,0.3860,0.5646,0.5099,hard_label_balanced_accuracy,retained_publication_aggregate
globem,ml,xgboost,0.5120,0.5150,0.5456,0.5436,hard_label_balanced_accuracy,retained_publication_aggregate
globem,ml,svm,0.4280,0.3630,0.5503,0.5374,hard_label_balanced_accuracy,retained_publication_aggregate
globem,ml,logistic_regression,0.5520,0.5990,0.5503,0.5535,hard_label_balanced_accuracy,retained_publication_aggregate
globem,ml,random_forest,0.5030,0.5030,0.5398,0.5373,hard_label_balanced_accuracy,retained_publication_aggregate
globem,ml,lightgbm,0.5180,0.5280,0.5450,0.5439,hard_label_balanced_accuracy,retained_publication_aggregate
globem,ml,decision_tree,0.5190,0.5500,0.5276,0.5292,hard_label_balanced_accuracy,retained_publication_aggregate
globem,dl,lstm_attention,0.3480,0.2630,0.5445,0.5251,hard_label_balanced_accuracy,retained_publication_aggregate
globem,dl,transformer,0.5750,0.6710,0.5404,0.5494,hard_label_balanced_accuracy,retained_publication_aggregate
globem,dl,tcn,0.4460,0.4410,0.4927,0.4892,hard_label_balanced_accuracy,retained_publication_aggregate
globem,dl,mlp,0.4110,0.3810,0.4939,0.4862,hard_label_balanced_accuracy,retained_publication_aggregate
