dataset,method,scope,seed,k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
ces,oli2ds,per_user,42,5.0,217.0,1085.0,0.23221783336990712,0.2887864823348694,0.5095238095238095,0.39915514592933954,0.5102564102564102,0.7210144927536232,0.622991347342398,0.6720029200480107
ces,oli2ds,per_user,42,10.0,215.0,2150.0,0.24267768978727294,0.30154854189737906,0.6433167220376524,0.4724326319675158,0.5455987311657415,0.6866267465069861,0.747725894481504,0.717176320494245
ces,oli2ds,per_user,42,20.0,210.0,4200.0,0.2469012586674574,0.28737873358561106,0.7242072617702869,0.505792997677949,0.5333333333333334,0.6065747613997879,0.8065704636168253,0.7065726125083066
ces,oli2ds,per_user,42,50.0,191.0,9550.0,0.2955470654069047,0.3384580499729243,0.7667562173550861,0.5526071336640053,0.5639113320903252,0.617513611615245,0.8282058263000273,0.7228597189576361
ces,hbp,per_user,42,5.0,217.0,1085.0,0.1300343793431351,0.18817204301075266,0.4983870967741935,0.3432795698924731,0.27522935779816515,0.3804347826086957,0.5278121137206427,0.4541234481646692
ces,hbp,per_user,42,10.0,215.0,2150.0,0.14087196928798196,0.21779254337393875,0.5426522702104097,0.38022240679217423,0.2933884297520661,0.4251497005988024,0.5524560339599758,0.4888028672793891
ces,hbp,per_user,42,20.0,210.0,4200.0,0.14538761833229472,0.23980208805396774,0.5907399437507797,0.41527101590237375,0.302130898021309,0.4209968186638388,0.604544058949954,0.5127704388068964
ces,hbp,per_user,42,50.0,191.0,9550.0,0.15453799981418184,0.2293013193947114,0.6971679201058477,0.4632346197502797,0.36396110339353044,0.4160617059891107,0.7389055268173156,0.5774836164032131
ces,koil,per_user,42,5.0,217.0,1085.0,0.2059505522639163,0.22772657450076803,0.6158218125960061,0.42177419354838713,0.49465648854961836,0.5869565217391305,0.7317676143386898,0.6593620680389101
ces,koil,per_user,42,10.0,215.0,2150.0,0.18612752692384055,0.20157253599114064,0.7720801033591733,0.48682631967515705,0.46632124352331605,0.4491017964071856,0.8550636749545178,0.6520827356808517
ces,koil,per_user,42,20.0,210.0,4200.0,0.16764260893983918,0.16319539499437774,0.8519058505502558,0.5075506227723167,0.41943734015345263,0.34782608695652173,0.9100399140313171,0.6289330004939194
ces,koil,per_user,42,50.0,191.0,9550.0,0.17793753232383475,0.16708193367685614,0.8659035243760793,0.5164927290264677,0.471016521982638,0.3815789473684211,0.9283964062074599,0.6549876767879405
ces,olifl,per_user,42,5.0,217.0,1085.0,0.23283227269402385,0.293010752688172,0.5164362519201229,0.4047235023041474,0.5148771021992239,0.7210144927536232,0.6316440049443758,0.6763292488489995
ces,olifl,per_user,42,10.0,215.0,2150.0,0.22669934424740387,0.29510151347360647,0.6421004060538946,0.4686009597637505,0.5291766586730615,0.6606786427145709,0.7459066100667071,0.7032926263906389
ces,olifl,per_user,42,20.0,210.0,4200.0,0.21660773650854945,0.2703372705152891,0.7164746227080372,0.4934059466116631,0.5140186915887851,0.5832449628844114,0.8013509364445809,0.6922979496644961
ces,olifl,per_user,42,50.0,191.0,9550.0,0.2571795640825598,0.2839183647124211,0.7732289838902203,0.5285736743013207,0.5645684620376379,0.5921052631578947,0.8483528450857609,0.7202290541218278
ces,olfl,per_user,42,5.0,217.0,1085.0,0.21619120766586206,0.2772657450076805,0.5476190476190476,0.41244239631336405,0.5377229080932785,0.7101449275362319,0.6823238566131026,0.6962343920746672
ces,olfl,per_user,42,10.0,215.0,2150.0,0.21000596163062862,0.28105943152454776,0.6545108896271689,0.46778516057585834,0.5289256198347108,0.6387225548902196,0.7640994542146755,0.7014110045524475
ces,olfl,per_user,42,20.0,210.0,4200.0,0.21881057770791523,0.27024909567147515,0.7294762219900432,0.4998626588307592,0.5133843212237093,0.5694591728525981,0.8120970217992017,0.6907780973258999
ces,olfl,per_user,42,50.0,191.0,9550.0,0.24831443967182104,0.2851758102000867,0.7792208135214918,0.5321983118607893,0.5275451740855003,0.5431034482758621,0.8452218894636537,0.694162668869758
