dataset,method,scope,seed,k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
globem,oli2ds,per_user,42,5.0,694.0,3470.0,0.4060015552810942,0.43335734870317005,0.4048991354466859,0.41912824207492794,0.6911850554582604,0.7698309492847855,0.6356107660455487,0.7027208576651671
globem,oli2ds,per_user,42,10.0,632.0,6320.0,0.45847516088458395,0.4768591772151899,0.472410588708057,0.4746348829616235,0.7287502031529336,0.770446735395189,0.7064516129032258,0.7384491741492074
globem,hbp,per_user,42,5.0,694.0,3470.0,0.27868235670829333,0.34877521613832857,0.3896253602305475,0.36920028818443806,0.48793727382388424,0.5260078023407022,0.4984472049689441,0.5122275036548232
globem,hbp,per_user,42,10.0,632.0,6320.0,0.31061506282131257,0.39844346493871813,0.4238001054852321,0.41112178521197507,0.5188189487345879,0.5494845360824743,0.5146627565982405,0.5320736463403574
globem,koil,per_user,42,5.0,694.0,3470.0,0.3489650519189424,0.36215177713736796,0.46911623439000966,0.41563400576368864,0.6562200191877198,0.6671001300390117,0.7085921325051759,0.6878461312720938
globem,koil,per_user,42,10.0,632.0,6320.0,0.3030927606301377,0.29316794755877035,0.5978777375929275,0.4455228425758489,0.6068717538953257,0.5219931271477664,0.830791788856305,0.6763924580020357
globem,olifl,per_user,42,5.0,694.0,3470.0,0.3910594208865103,0.424135446685879,0.40355427473583094,0.413844860710855,0.6813380281690141,0.7548764629388817,0.6330227743271222,0.6939496186330019
globem,olifl,per_user,42,10.0,632.0,6320.0,0.42221811848445573,0.4427077054450472,0.48178496081977096,0.4622463331324091,0.721982041902228,0.7460481099656358,0.7263929618768329,0.7362205359212344
globem,olfl,per_user,42,5.0,694.0,3470.0,0.38290105667627283,0.42795389048991356,0.40184918347742554,0.41490153698366955,0.6935672514619883,0.7711313394018205,0.639751552795031,0.7054414460984257
globem,olfl,per_user,42,10.0,632.0,6320.0,0.4252060586510414,0.453757911392405,0.47213431786216603,0.4629461146272855,0.7277203348104383,0.7618556701030927,0.7167155425219941,0.7392856063125435
globem,oli2ds,per_user,43,5.0,694.0,3470.0,0.4060015552810942,0.43335734870317005,0.4048991354466859,0.41912824207492794,0.6911850554582604,0.7698309492847855,0.6356107660455487,0.7027208576651671
globem,oli2ds,per_user,43,10.0,632.0,6320.0,0.45847516088458395,0.4768591772151899,0.472410588708057,0.4746348829616235,0.7287502031529336,0.770446735395189,0.7064516129032258,0.7384491741492074
globem,hbp,per_user,43,5.0,694.0,3470.0,0.2850052605095833,0.3601344860710855,0.4023294908741595,0.38123198847262246,0.5078787878787878,0.5448634590377113,0.5217391304347826,0.533301294736247
globem,hbp,per_user,43,10.0,632.0,6320.0,0.3163681478121361,0.4054130249146071,0.4484604179224433,0.42693672141852523,0.5404423902277978,0.5625429553264605,0.556891495601173,0.5597172254638167
globem,koil,per_user,43,5.0,694.0,3470.0,0.3489650519189424,0.36215177713736796,0.46911623439000966,0.41563400576368864,0.6562200191877198,0.6671001300390117,0.7085921325051759,0.6878461312720938
globem,koil,per_user,43,10.0,632.0,6320.0,0.3030927606301377,0.29316794755877035,0.5978777375929275,0.4455228425758489,0.6068717538953257,0.5219931271477664,0.830791788856305,0.6763924580020357
globem,olifl,per_user,43,5.0,694.0,3470.0,0.3910594208865103,0.424135446685879,0.40355427473583094,0.413844860710855,0.6813380281690141,0.7548764629388817,0.6330227743271222,0.6939496186330019
globem,olifl,per_user,43,10.0,632.0,6320.0,0.42221811848445573,0.4427077054450472,0.48178496081977096,0.4622463331324091,0.721982041902228,0.7460481099656358,0.7263929618768329,0.7362205359212344
globem,olfl,per_user,43,5.0,694.0,3470.0,0.38290105667627283,0.42795389048991356,0.40184918347742554,0.41490153698366955,0.6935672514619883,0.7711313394018205,0.639751552795031,0.7054414460984257
globem,olfl,per_user,43,10.0,632.0,6320.0,0.4252060586510414,0.453757911392405,0.47213431786216603,0.4629461146272855,0.7277203348104383,0.7618556701030927,0.7167155425219941,0.7392856063125435
globem,oli2ds,per_user,44,5.0,694.0,3470.0,0.4060015552810942,0.43335734870317005,0.4048991354466859,0.41912824207492794,0.6911850554582604,0.7698309492847855,0.6356107660455487,0.7027208576651671
globem,oli2ds,per_user,44,10.0,632.0,6320.0,0.45847516088458395,0.4768591772151899,0.472410588708057,0.4746348829616235,0.7287502031529336,0.770446735395189,0.7064516129032258,0.7384491741492074
globem,hbp,per_user,44,5.0,694.0,3470.0,0.2680321119802388,0.34457252641690683,0.3759125840537944,0.36024255523535065,0.4775399457340971,0.5149544863459038,0.4891304347826087,0.5020424605642563
globem,hbp,per_user,44,10.0,632.0,6320.0,0.3117816316511059,0.3989030791641552,0.41743457404058676,0.40816882660237097,0.5195602974458454,0.552233676975945,0.5105571847507331,0.5313954308633391
globem,koil,per_user,44,5.0,694.0,3470.0,0.3489650519189424,0.36215177713736796,0.46911623439000966,0.41563400576368864,0.6562200191877198,0.6671001300390117,0.7085921325051759,0.6878461312720938
globem,koil,per_user,44,10.0,632.0,6320.0,0.3030927606301377,0.29316794755877035,0.5978777375929275,0.4455228425758489,0.6068717538953257,0.5219931271477664,0.830791788856305,0.6763924580020357
globem,olifl,per_user,44,5.0,694.0,3470.0,0.3910594208865103,0.424135446685879,0.40355427473583094,0.413844860710855,0.6813380281690141,0.7548764629388817,0.6330227743271222,0.6939496186330019
globem,olifl,per_user,44,10.0,632.0,6320.0,0.42221811848445573,0.4427077054450472,0.48178496081977096,0.4622463331324091,0.721982041902228,0.7460481099656358,0.7263929618768329,0.7362205359212344
globem,olfl,per_user,44,5.0,694.0,3470.0,0.38290105667627283,0.42795389048991356,0.40184918347742554,0.41490153698366955,0.6935672514619883,0.7711313394018205,0.639751552795031,0.7054414460984257
globem,olfl,per_user,44,10.0,632.0,6320.0,0.4252060586510414,0.453757911392405,0.47213431786216603,0.4629461146272855,0.7277203348104383,0.7618556701030927,0.7167155425219941,0.7392856063125435
