dataset,method,scope,seed,provenance,n_events,n_users,n_models,f1,recall,specificity,balanced_accuracy,accuracy,post_f1,post_recall,post_specificity,post_balanced_accuracy
globem,oli2ds,per_user,42,author_code_core_complete_feature_specialization,8225,704,704,0.7292652552926525,0.7703235990528808,0.7059222423146474,0.7381229206837641,0.7356838905775076,0.7331214240305148,0.7675718849840255,0.7180961140492067,0.7428339995166161
globem,hbp,per_user,42,public_code_equation_reproduction,8225,704,704,0.5302080721985458,0.5564325177584846,0.5339059674502713,0.5451692426043779,0.5443161094224924,0.5317420010157441,0.5575079872204473,0.5341457806392275,0.5458268839298374
globem,koil,per_user,42,author_code_python_port_fifo_compensation,8225,704,704,0.6005639097744362,0.5043409629044988,0.8494575045207957,0.6768992337126473,0.6899696048632219,0.6020260492040521,0.4984025559105431,0.8641066911933778,0.6812546235519604
globem,olifl,per_user,42,paper_mechanism_complete_feature_label_specialization_no_public_code,8225,704,704,0.7271097451658344,0.746908708234675,0.7357594936708861,0.7413341009527805,0.7409118541033435,0.7310308738880168,0.7438764643237487,0.7484479190618533,0.746162191692801
globem,olfl,per_user,42,protocol_aligned_labeled_surrogate_original_task_unlabeled,8225,704,704,0.7317751105495893,0.7619047619047619,0.7246835443037974,0.7432941531042796,0.7418844984802432,0.735741935483871,0.7590521831735889,0.737180961140492,0.7481165721570404
globem,oli2ds,per_user,43,author_code_core_complete_feature_specialization,8225,704,704,0.7292652552926525,0.7703235990528808,0.7059222423146474,0.7381229206837641,0.7356838905775076,0.7331214240305148,0.7675718849840255,0.7180961140492067,0.7428339995166161
globem,hbp,per_user,43,public_code_equation_reproduction,8225,704,704,0.5412390725959711,0.5619573796369376,0.5578661844484629,0.5599117820427002,0.5597568389057751,0.541950404728254,0.5615015974440895,0.5589790756495746,0.560240336546832
globem,koil,per_user,43,author_code_python_port_fifo_compensation,8225,704,704,0.6005639097744362,0.5043409629044988,0.8494575045207957,0.6768992337126473,0.6899696048632219,0.6020260492040521,0.4984025559105431,0.8641066911933778,0.6812546235519604
globem,olifl,per_user,43,paper_mechanism_complete_feature_label_specialization_no_public_code,8225,704,704,0.7271097451658344,0.746908708234675,0.7357594936708861,0.7413341009527805,0.7409118541033435,0.7310308738880168,0.7438764643237487,0.7484479190618533,0.746162191692801
globem,olfl,per_user,43,protocol_aligned_labeled_surrogate_original_task_unlabeled,8225,704,704,0.7317751105495893,0.7619047619047619,0.7246835443037974,0.7432941531042796,0.7418844984802432,0.735741935483871,0.7590521831735889,0.737180961140492,0.7481165721570404
globem,oli2ds,per_user,44,author_code_core_complete_feature_specialization,8225,704,704,0.7292652552926525,0.7703235990528808,0.7059222423146474,0.7381229206837641,0.7356838905775076,0.7331214240305148,0.7675718849840255,0.7180961140492067,0.7428339995166161
globem,hbp,per_user,44,public_code_equation_reproduction,8225,704,704,0.5214446952595937,0.5469613259668509,0.5266726943942134,0.5368170101805321,0.536048632218845,0.522987045974092,0.5481895633652822,0.5265578293860658,0.537373696375674
globem,koil,per_user,44,author_code_python_port_fifo_compensation,8225,704,704,0.6005639097744362,0.5043409629044988,0.8494575045207957,0.6768992337126473,0.6899696048632219,0.6020260492040521,0.4984025559105431,0.8641066911933778,0.6812546235519604
globem,olifl,per_user,44,paper_mechanism_complete_feature_label_specialization_no_public_code,8225,704,704,0.7271097451658344,0.746908708234675,0.7357594936708861,0.7413341009527805,0.7409118541033435,0.7310308738880168,0.7438764643237487,0.7484479190618533,0.746162191692801
globem,olfl,per_user,44,protocol_aligned_labeled_surrogate_original_task_unlabeled,8225,704,704,0.7317751105495893,0.7619047619047619,0.7246835443037974,0.7432941531042796,0.7418844984802432,0.735741935483871,0.7590521831735889,0.737180961140492,0.7481165721570404
