Dataset,Family,Model,Accuracy,Macro Recall,Macro F1
GLOBEM,ML,XGBoost,0.537,0.524,0.5239
GLOBEM,ML,SVM,0.5702,0.5317,0.5238
GLOBEM,ML,LogisticRegression,0.5297,0.5247,0.5227
GLOBEM,ML,RandomForest,0.5677,0.5287,0.5202
GLOBEM,ML,LightGBM,0.5377,0.5182,0.518
GLOBEM,ML,DecisionTree,0.5182,0.5104,0.5094
GLOBEM,DL,LSTM-Attention,0.5724,0.5753,0.5441
GLOBEM,DL,Transformer,0.57,0.545,0.5279
GLOBEM,DL,TCN,0.5825,0.5132,0.5103
GLOBEM,DL,MLP,0.5646,0.5099,0.504
CES,ML,LightGBM,0.88,0.8542,0.8526
CES,ML,SVM,0.8635,0.8385,0.8338
CES,ML,XGBoost,0.8651,0.8321,0.8331
CES,ML,RandomForest,0.8597,0.8295,0.8278
CES,ML,LogisticRegression,0.8084,0.7751,0.7688
CES,ML,DecisionTree,0.7374,0.633,0.6424
CES,DL,TCN,0.5985,0.5708,0.5681
CES,DL,Transformer,0.6036,0.5481,0.5486
CES,DL,MLP,0.6346,0.5506,0.5454
CES,DL,LSTM-Attention,0.5258,0.5749,0.5257
