Dataset,Scope,Model,Accuracy,Recall (+),F1 (+),Specificity
CES,Global,OBAL,0.6692170364702882,0.6816870585894758,0.5400527995586902,0.6642494848628943
CES,Global,HBP/ODL,0.4254016832440704,0.8599423057793694,0.4602443634040514,0.2522983040101442
CES,Global,OLI2DS,0.416843775680807,0.8719785138764548,0.4600246647949411,0.235536535108575
CES,Global,OLFL,0.3966108419054096,0.878444245498856,0.4533949428828135,0.2046679346964653
CES,Global,OLIFL,0.3843690668480263,0.8942604197751914,0.4528396927339126,0.1812490093517197
CES,Global,KOIL,0.3562583241236646,0.9124639411121058,0.4467769037819936,0.1346885401806942
CES,Per-user,OBAL,0.8180169457904729,0.7221724858251268,0.693343520198644,0.8561974956411476
CES,Per-user,OLIFL,0.8142197285273032,0.7234656321496071,0.6893185480049285,0.8503724837533682
CES,Per-user,OLI2DS,0.773612173765196,0.7098378593454691,0.6411212434302143,0.7990172769060073
CES,Per-user,OLFL,0.7529541783558616,0.7707152093902317,0.6399603535144958,0.7458789031542241
CES,Per-user,KOIL,0.7335997052906005,0.6052919526509499,0.5641833943720737,0.7847123157394199
CES,Per-user,HBP/ODL,0.6869279378843266,0.6863622799164428,0.5553766902768834,0.6871532731019179
CES,Group-shared,SG-Share classification-tuned,0.8173368471761738,0.7521137968765542,0.7011313056379822,0.843319067998098
GLOBEM,Global,OBAL,0.4988449848024316,0.9276506182583532,0.6311079291211742,0.1304249547920434
GLOBEM,Global,HBP/ODL,0.4707193515704153,0.977725160045602,0.6306349671304392,0.0351115129596141
GLOBEM,Global,OLFL,0.4714893617021277,0.9752696658774008,0.6303885724003062,0.0386528028933092
GLOBEM,Global,OLI2DS,0.4744072948328267,0.9657984740857668,0.6294042006000857,0.0522151898734177
GLOBEM,Global,KOIL,0.4654103343465046,0.9813207050776112,0.6291642067976723,0.0221518987341772
GLOBEM,Global,OLIFL,0.4706382978723404,0.9668508287292816,0.6279904306220097,0.0443037974683544
GLOBEM,Per-user,OBAL,0.7448024316109422,0.8074191002367798,0.7451742139128323,0.691003616636528
GLOBEM,Per-user,OLFL,0.7321580547112462,0.8382004735595897,0.7430903790087463,0.6410488245931284
GLOBEM,Per-user,OLIFL,0.726322188449848,0.8145224940805051,0.7333886059457538,0.6505424954792043
GLOBEM,Per-user,OLI2DS,0.721337386018237,0.8253091291765325,0.732430539341583,0.6320072332730561
GLOBEM,Per-user,KOIL,0.5877203647416414,0.8039989476453565,0.6431653162159319,0.4018987341772151
GLOBEM,Per-user,HBP/ODL,0.4761904761904762,0.9789529071297028,0.6333434834000223,0.0442284508740204
GLOBEM,Group-shared,SG-Share classification-tuned,0.7212158054711247,0.8270630535823905,0.7327578572039378,0.6302742616033755
