decile,stream_fraction,start_event_1based,end_event_1based,events_in_decile,events_processed,global_cumulative_user_macro_f1,per_user_cumulative_user_macro_f1,global_decile_user_macro_f1,per_user_decile_user_macro_f1,global_cumulative_pooled_f1,per_user_cumulative_pooled_f1,global_decile_pooled_f1,per_user_decile_pooled_f1
1,0.1,1,3529,3529,3529,0.2765534036377147,0.23301242882021264,0.27655340363771547,0.23301242882021275,0.3570731707317073,0.517263025737602,0.3570731707317073,0.517263025737602
2,0.2,3530,7058,3529,7058,0.3177723664082291,0.29174778603060925,0.3341928538625315,0.27602318782151797,0.3961844197138315,0.5892067236803303,0.43359253499222394,0.6529477196885428
3,0.3,7059,10587,3529,10587,0.3068595481420302,0.27498427560079536,0.31075242526429697,0.2453392422902868,0.3860841747475757,0.5981601096104913,0.3689738755723135,0.6158323632130385
4,0.4,10588,14116,3529,14116,0.3312297791848946,0.28752126712447973,0.3583513592905718,0.232461272342007,0.4044469462426119,0.6101160624731337,0.44808743169398907,0.6427807486631016
5,0.5,14117,17645,3529,17645,0.3357592048929076,0.30140620576523686,0.32887557537099527,0.25738562375091023,0.4046572934973638,0.6293063849333945,0.40540540540540543,0.706766917293233
6,0.6,17646,21174,3529,21174,0.34798890464722304,0.3177540707600063,0.34889690317363553,0.26238929340489353,0.40947713887515175,0.6338321651827997,0.4312267657992565,0.6551351351351351
7,0.7,21175,24703,3529,24703,0.368816674142126,0.3481234595889457,0.4260529828204102,0.31788062129134564,0.4257992148065059,0.6489551775033015,0.5064415815193247,0.71792656587473
8,0.8,24704,28232,3529,28232,0.3851540753256598,0.37239946705600324,0.4433373632751411,0.3602782122301851,0.441006547695468,0.6604716739297616,0.5332124234867377,0.7147564994507506
9,0.9,28233,31761,3529,31761,0.3975022230682088,0.3907596501051121,0.4478899828521173,0.37338043589616193,0.4513433170676987,0.662718678691731,0.5228787205686362,0.675231977159172
10,1.0,31762,35289,3528,35289,0.4015341880537163,0.3960075861130419,0.36365311182802795,0.315916508162108,0.4528396927339126,0.653778223304215,0.46602421546824807,0.5890680298859614
