dataset,method,scope,seed,k,n_users,n_events,user_macro_f1,user_macro_recall,user_macro_specificity,user_macro_balanced_accuracy,pooled_f1,pooled_recall,pooled_specificity,pooled_balanced_accuracy
ces,koil,global,42,5.0,217.0,1085.0,0.27209787140662717,0.3837173579109063,0.1922427035330261,0.2879800307219662,0.41476274165202115,0.855072463768116,0.22620519159456118,0.5406388276813385
ces,koil,global,42,10.0,215.0,2150.0,0.2804978340193259,0.4561166482096714,0.15286452565522335,0.3044905869324474,0.3867069486404834,0.8942115768463074,0.17040630685263797,0.5323089418494726
ces,koil,global,42,20.0,210.0,4200.0,0.2858506820803827,0.5412413395612202,0.14661777592892142,0.3439295577450707,0.3659668508287293,0.8780487804878049,0.15443659809640772,0.5162426892921063
ces,koil,global,42,50.0,191.0,9550.0,0.30036886857764544,0.6519338773779901,0.12950152025341422,0.39071769881570223,0.3743234260753965,0.8942831215970962,0.13476722025592158,0.5145251709265088
ces,koil,per_user,42,5.0,217.0,1085.0,0.2059505522639163,0.22772657450076803,0.6158218125960061,0.42177419354838713,0.49465648854961836,0.5869565217391305,0.7317676143386898,0.6593620680389101
ces,koil,per_user,42,10.0,215.0,2150.0,0.18612752692384055,0.20157253599114064,0.7720801033591733,0.48682631967515705,0.46632124352331605,0.4491017964071856,0.8550636749545178,0.6520827356808517
ces,koil,per_user,42,20.0,210.0,4200.0,0.16764260893983918,0.16319539499437774,0.8519058505502558,0.5075506227723167,0.41943734015345263,0.34782608695652173,0.9100399140313171,0.6289330004939194
ces,koil,per_user,42,50.0,191.0,9550.0,0.17793753232383475,0.16708193367685614,0.8659035243760793,0.5164927290264677,0.471016521982638,0.3815789473684211,0.9283964062074599,0.6549876767879405
ces,olfl,global,42,5.0,217.0,1085.0,0.2355314168678224,0.3218125960061444,0.3149769585253456,0.318394777265745,0.3923154701718908,0.7028985507246377,0.3584672435105068,0.5306828971175722
ces,olfl,global,42,10.0,215.0,2150.0,0.24712776499586206,0.3607105943152455,0.3424178663713547,0.3515642303433001,0.3792016806722689,0.720558882235529,0.36810187992722865,0.5443303810813789
ces,olfl,global,42,20.0,210.0,4200.0,0.27301523135079353,0.435305834414083,0.3852382284856854,0.41027203144988417,0.38228699551569506,0.7232237539766702,0.4034387473134787,0.5633312506450744
ces,olfl,global,42,50.0,191.0,9550.0,0.29131517718514593,0.554839870430909,0.3286207514742734,0.4417303109525912,0.38214081282198054,0.7572595281306715,0.33814320718758506,0.5477013676591282
ces,olfl,per_user,42,5.0,217.0,1085.0,0.21619120766586206,0.2772657450076805,0.5476190476190476,0.41244239631336405,0.5377229080932785,0.7101449275362319,0.6823238566131026,0.6962343920746672
ces,olfl,per_user,42,10.0,215.0,2150.0,0.21000596163062862,0.28105943152454776,0.6545108896271689,0.46778516057585834,0.5289256198347108,0.6387225548902196,0.7640994542146755,0.7014110045524475
ces,olfl,per_user,42,20.0,210.0,4200.0,0.21881057770791523,0.27024909567147515,0.7294762219900432,0.4998626588307592,0.5133843212237093,0.5694591728525981,0.8120970217992017,0.6907780973258999
ces,olfl,per_user,42,50.0,191.0,9550.0,0.24831443967182104,0.2851758102000867,0.7792208135214918,0.5321983118607893,0.5275451740855003,0.5431034482758621,0.8452218894636537,0.694162668869758
ces,oli2ds,global,42,5.0,217.0,1085.0,0.24964523443786119,0.33955453149001535,0.25937019969278036,0.2994623655913978,0.3822138126773888,0.7318840579710145,0.2843016069221261,0.5080928324465703
ces,oli2ds,global,42,10.0,215.0,2150.0,0.2621205826357385,0.3849501661129568,0.3124640088593577,0.3487070874861573,0.3784860557768924,0.7584830339321357,0.3165554881746513,0.5375192610533934
ces,oli2ds,global,42,20.0,210.0,4200.0,0.27743994246756526,0.45768471617985107,0.3989813706736528,0.42833304342675194,0.3830845771144279,0.7348886532343585,0.39146453791832975,0.5631765955763441
ces,oli2ds,global,42,50.0,191.0,9550.0,0.2927219537760598,0.5711182306610492,0.33881973082967926,0.4549689807453641,0.3805188893946291,0.7586206896551724,0.3313367819221345,0.5449787357886534
ces,oli2ds,per_user,42,5.0,217.0,1085.0,0.23221783336990712,0.2887864823348694,0.5095238095238095,0.39915514592933954,0.5102564102564102,0.7210144927536232,0.622991347342398,0.6720029200480107
ces,oli2ds,per_user,42,10.0,215.0,2150.0,0.24267768978727294,0.30154854189737906,0.6433167220376524,0.4724326319675158,0.5455987311657415,0.6866267465069861,0.747725894481504,0.717176320494245
ces,oli2ds,per_user,42,20.0,210.0,4200.0,0.2469012586674574,0.28737873358561106,0.7242072617702869,0.505792997677949,0.5333333333333334,0.6065747613997879,0.8065704636168253,0.7065726125083066
ces,oli2ds,per_user,42,50.0,191.0,9550.0,0.2955470654069047,0.3384580499729243,0.7667562173550861,0.5526071336640053,0.5639113320903252,0.617513611615245,0.8282058263000273,0.7228597189576361
