decile,stream_fraction,start_event_1based,end_event_1based,events_in_decile,events_processed,global_cumulative_user_macro_f1,per_user_cumulative_user_macro_f1,global_decile_user_macro_f1,per_user_decile_user_macro_f1,global_cumulative_pooled_f1,per_user_cumulative_pooled_f1,global_decile_pooled_f1,per_user_decile_pooled_f1
1,0.1,1,3529,3529,3529,0.29439781366425505,0.12214575533118788,0.29439781366425655,0.12214575533118792,0.35404255319148936,0.3101503759398496,0.35404255319148936,0.3101503759398496
2,0.2,3530,7058,3529,7058,0.3396785376309671,0.20314768122505134,0.3485063462666851,0.20358848378084624,0.38175400488732014,0.42105263157894735,0.40718562874251496,0.4996668887408394
3,0.3,7059,10587,3529,10587,0.3108209130394061,0.19035302795171805,0.3076185006657087,0.18602340462098124,0.3779472954230236,0.4625989277508297,0.3712230215827338,0.5414201183431953
4,0.4,10588,14116,3529,14116,0.33159457663894015,0.18888268291247667,0.3561998188713343,0.166557676129814,0.39550164265857973,0.4848594087959625,0.4426840633737186,0.5383200490496628
5,0.5,14117,17645,3529,17645,0.3371341616062213,0.1956168322730858,0.33361034331853046,0.1765082292351598,0.3970514492026878,0.5058057207589918,0.403014098201264,0.582562747688243
6,0.6,17646,21174,3529,21174,0.34713023676086985,0.19618882050104108,0.34616441021699657,0.15744516510745316,0.4000830909846282,0.5077636152954809,0.41472868217054265,0.5165816326530612
7,0.7,21175,24703,3529,24703,0.3669344735244085,0.20189678935162997,0.42413923641115026,0.19826325421572566,0.41717661953998736,0.5133176470588235,0.5114573785517873,0.53734335839599
8,0.8,24704,28232,3529,28232,0.38214343665381967,0.21705898807462876,0.4385156851027882,0.2403659439543054,0.4332834041512548,0.5277692070348657,0.5403131572797383,0.5934159897392048
9,0.9,28233,31761,3529,31761,0.39441039009484835,0.2326826923969302,0.4511768106968657,0.261274087418081,0.44391228306202074,0.5370643732751428,0.5220125786163522,0.5831104317921284
10,1.0,31762,35289,3528,35289,0.39854982529455896,0.2404124756782149,0.37562664010663327,0.2608813415634186,0.44677690378199353,0.5320498796762196,0.474089276552078,0.5031446540880503
