decile,stream_fraction,start_event_1based,end_event_1based,events_in_decile,events_processed,global_cumulative_user_macro_f1,per_user_cumulative_user_macro_f1,global_decile_user_macro_f1,per_user_decile_user_macro_f1,global_cumulative_pooled_f1,per_user_cumulative_pooled_f1,global_decile_pooled_f1,per_user_decile_pooled_f1
1,0.1,1,3529,3529,3529,0.2845446828412474,0.21401507536371372,0.2845446828412481,0.2140150753637143,0.3806797853309481,0.5076615589606929,0.3806797853309481,0.5076615589606929
2,0.2,3530,7058,3529,7058,0.34342460716203504,0.2753576574305732,0.3487613360997995,0.26674375355433283,0.39813923644529997,0.5413803406035256,0.41232916545507414,0.5687973997833152
3,0.3,7059,10587,3529,10587,0.3005847628532246,0.2565169003904472,0.2829554956664833,0.2324874657072487,0.3922380900468767,0.5481655876005493,0.37972099353521604,0.5611428571428572
4,0.4,10588,14116,3529,14116,0.3281817194822045,0.2747562526478678,0.3546420718829869,0.23805342328119997,0.40879417723418626,0.55625,0.44535387578237845,0.5774575398867731
5,0.5,14117,17645,3529,17645,0.33446464992814046,0.2868472590779011,0.32708926705084945,0.23931518906230204,0.4080333371918046,0.5673010777344646,0.4054669703872437,0.6135552913198573
6,0.6,17646,21174,3529,21174,0.34363699309067075,0.30089540397450404,0.3356888774877051,0.24735469454442707,0.4086754747359947,0.5684710351377018,0.4115655118520448,0.5741150442477876
7,0.7,21175,24703,3529,24703,0.36783889749485904,0.33252292229656516,0.434040222992818,0.3042912940396389,0.42605250893273267,0.5822232608865,0.5052904340315266,0.6449934980494149
8,0.8,24704,28232,3529,28232,0.3850461861469873,0.3564628117045325,0.4478247065687416,0.34221007542381743,0.4412270263123099,0.5981141692150866,0.5279751332149201,0.6694648478488983
9,0.9,28233,31761,3529,31761,0.3979608646564113,0.36955442122171483,0.45754617515749907,0.3505926636170331,0.4512296610899073,0.602403175624933,0.5170837867247008,0.6252545824847251
10,1.0,31762,35289,3528,35289,0.4023645548441037,0.3767444759074495,0.36504014531575635,0.3129128047429294,0.4533949428828135,0.5947284792971306,0.4717624148003895,0.5428156748911466
