decile,stream_fraction,start_event_1based,end_event_1based,events_in_decile,events_processed,global_cumulative_user_macro_f1,per_user_cumulative_user_macro_f1,global_decile_user_macro_f1,per_user_decile_user_macro_f1,global_cumulative_pooled_f1,per_user_cumulative_pooled_f1,global_decile_pooled_f1,per_user_decile_pooled_f1
1,0.1,1,3529,3529,3529,0.2775235815664627,0.26439275682048297,0.2775235815664638,0.26439275682048335,0.36949278045168454,0.5398126463700235,0.36949278045168454,0.5398126463700235
2,0.2,3530,7058,3529,7058,0.31648855192046393,0.31691548317955176,0.32294513355972726,0.2901251452508609,0.4042185338865837,0.5849006622516556,0.4346415828738242,0.6221577164973391
3,0.3,7059,10587,3529,10587,0.3093653667233891,0.3020036088026713,0.3160170175487193,0.2646769098374284,0.39932960893854746,0.5863354037267081,0.3903979785217941,0.589247311827957
4,0.4,10588,14116,3529,14116,0.3339825815237434,0.3271038704135353,0.3563474025307834,0.2685273966441272,0.4142978198906094,0.5908289241622575,0.44753162986851897,0.601823708206687
5,0.5,14117,17645,3529,17645,0.33739110999803057,0.3406172007219161,0.32112935581390767,0.2763865393870395,0.4136579572446556,0.5965652304911118,0.4115055713915522,0.6191183754333829
6,0.6,17646,21174,3529,21174,0.3487428803409282,0.3588106162807427,0.3441091238577325,0.28162182142118986,0.41669861963190186,0.600695019030283,0.4294234592445328,0.6200093940817285
7,0.7,21175,24703,3529,24703,0.3698526996119932,0.3917178504108904,0.42446548296914804,0.3558430100356483,0.4328994082840237,0.6118585626394429,0.5082478823004905,0.6617375231053605
8,0.8,24704,28232,3529,28232,0.38630026122115135,0.41573160865084147,0.4406004461379673,0.3896502191357055,0.4483409765308875,0.6231194690265487,0.5392475615420343,0.6737610215871085
9,0.9,28233,31761,3529,31761,0.3985298567237433,0.429099809170398,0.44233951587602244,0.39578383692980224,0.458375007354239,0.6250820133095886,0.5269709543568465,0.6359729895641498
10,1.0,31762,35289,3528,35289,0.4020860634848517,0.434755225438758,0.3633307182364902,0.32056563743389144,0.4598449366251224,0.6159106826515058,0.4730050039504872,0.5492333901192504
