dataset,method,k,user_macro_f1_pos,user_macro_recall_pos,source_status
ces,hbp_odl,5,0.1300,0.1882,retained_remote_rerun
ces,hbp_odl,10,0.1409,0.2178,retained_remote_rerun
ces,koil,5,0.2060,0.2277,retained_remote_rerun
ces,koil,10,0.1861,0.2016,retained_remote_rerun
ces,olfl,5,0.2162,0.2773,retained_remote_rerun
ces,olfl,10,0.2100,0.2811,retained_remote_rerun
ces,oli2ds,5,0.2322,0.2888,retained_remote_rerun
ces,oli2ds,10,0.2427,0.3015,retained_remote_rerun
ces,olifl,5,0.2328,0.2930,retained_remote_rerun
ces,olifl,10,0.2267,0.2951,retained_remote_rerun
ces,sg_share,5,0.2713,0.3848,private_manifested
ces,sg_share,10,0.2632,0.3932,private_manifested
globem,hbp_odl,5,0.2772,0.3512,retained_aggregate
globem,hbp_odl,10,0.3129,0.4009,retained_aggregate
globem,koil,5,0.3490,0.3622,retained_aggregate
globem,koil,10,0.3031,0.2932,retained_aggregate
globem,olfl,5,0.3829,0.4280,retained_aggregate
globem,olfl,10,0.4252,0.4538,retained_aggregate
globem,oli2ds,5,0.4060,0.4334,retained_aggregate
globem,oli2ds,10,0.4585,0.4769,retained_aggregate
globem,olifl,5,0.3911,0.4241,retained_aggregate
globem,olifl,10,0.4222,0.4427,retained_aggregate
globem,sg_share,5,0.4380,0.5180,private_manifested
globem,sg_share,10,0.4697,0.5445,private_manifested
