dataset,parameter,fixed_condition,value,f1_pos
ces,alpha,k=3,0.05,0.6941
ces,alpha,k=4,0.05,0.6934
ces,alpha,k=5,0.05,0.6908
ces,alpha,k=3,0.10,0.6994
ces,alpha,k=4,0.10,0.6957
ces,alpha,k=5,0.10,0.6992
ces,alpha,k=3,0.20,0.7039
ces,alpha,k=4,0.20,0.7045
ces,alpha,k=5,0.20,0.7060
globem,alpha,k=3,0.05,0.7297
globem,alpha,k=4,0.05,0.7286
globem,alpha,k=5,0.05,0.7306
globem,alpha,k=3,0.10,0.7322
globem,alpha,k=4,0.10,0.7269
globem,alpha,k=5,0.10,0.7359
globem,alpha,k=3,0.20,0.7328
globem,alpha,k=4,0.20,0.7311
globem,alpha,k=5,0.20,0.7306
ces,lambda_m,delta_move=0.01,10,0.7037
ces,lambda_m,delta_move=0.01,20,0.7060
ces,lambda_m,delta_move=0.01,40,0.7038
ces,lambda_m,delta_move=0.01,80,0.7026
ces,delta_move,lambda_m=20,0,0.6999
ces,delta_move,lambda_m=20,0.001,0.7033
ces,delta_move,lambda_m=20,0.005,0.7007
ces,delta_move,lambda_m=20,0.010,0.7060
ces,delta_move,lambda_m=20,0.020,0.7031
globem,lambda_m,delta_move=0.01,5,0.7349
globem,lambda_m,delta_move=0.01,10,0.7348
globem,lambda_m,delta_move=0.01,15,0.7345
globem,lambda_m,delta_move=0.01,20,0.7359
globem,delta_move,lambda_m=10,0,0.7272
globem,delta_move,lambda_m=10,0.001,0.7304
globem,delta_move,lambda_m=10,0.005,0.7349
globem,delta_move,lambda_m=10,0.010,0.7348
globem,delta_move,lambda_m=10,0.020,0.7359
